dev_loginname	proj_unixname	is_admin	position
yuan_hang	cyton	1	Project Manager
kaloian	cyrcho	1	
radko28	cyclosoft	1	
jqguo	cyclops-group	1	Unix Admin
g-cyclops	cyclops-group	1	
crazytmac	cyclops-group	1	Unix Admin
cybercying	cyberwebform	1	
collembola	cyberwebform	1	Developer
atomm1024	cybercat	1	
baggioo	cyberbabel	1	
habdankw	cxxtl	1	
zhuo_qiang	cxxgui	0	Developer
matt_trentini	cxxgui	0	
dlwh	cxxgui	0	Developer
davidturner	cxxgui	1	
danieljames	cxxgui	0	
bio74	cxxbits	1	
furnish	cxx	1	Developer
dubois	cxx	1	No specific role
barry-scott	cxx	1	Developer
atuining	cx-pyoraclelib	1	
atuining	cx-pygenlib	1	
atuining	cx-oracle	1	
atuining	cx-logging	1	
tjlytle	cwpapi	0	Developer
rmharris	cwpapi	1	Project Manager
crusius	cwebtags	1	
trumpetinc	cweb	0	Developer
thompsonbry	cweb	1	Project Manager
mrpersonick	cweb	0	Developer
mhgrove	cweb	0	Developer
guylukes	cweb	1	Developer
dphaedo	cweb	0	Analysis / Design
bparsia	cweb	0	Developer
boisvert	cweb	0	Developer
b2e3	cweb	0	Developer
bradenloe	cwc32	1	
yygw	cvstracnt	1	
zona21	cvsrepository	1	
tacicu	cvs-intro	0	Developer
lbarberan	cvs-intro	1	
jorgep	cvs-intro	1	Developer
alvarado	cvrlib	1	
scinos	cvpframework	1	Project Manager
mvargas	cvpframework	1	Graphic/Other Designer
julioaba	cvpframework	1	
carla_cm	cvpframework	1	Project Manager
snikolaev	cvmlib	1	
rk87	cvarlib	1	
mtegtmeyer	cvalarray	1	
friedger	curl-dev-tools	1	
asimjalis	cutest	1	
tat0o	cutee	1	
nickthompson	cute	0	Developer
kerns	cute	0	Developer
heicom	cute	1	Developer
jmmcg	custwinapi	1	All-Hands Person
wmfaben	customgridview	1	
simfonie	cusp-parser	1	
jbeekmann	curlunit	1	
friedger	curlunit	1	
jpbl	curlpp	1	Developer
friedger	curl-widgets	1	Developer
brentyoung	curl-widgets	1	
jds2	cunit	0	Developer
jdpipe	cunit	0	Developer
anilsaharan	cunit	1	Project Manager
leewinder	cull	1	Project Manager
smilerliu	cuitk	1	
tadada	cubeforbatch	1	
grimreaper777	cubeb	1	
zshakeel	cuaesdk	1	Developer
wy001	cuaesdk	0	Tester
shyape	cuaesdk	1	Developer
secall	cuaesdk	1	Developer
mr_vage	cuaesdk	0	Developer
lmarasci	cuaesdk	1	Developer
jdliau	cuaesdk	0	Developer
jacapps	cuaesdk	1	Developer
dpottercisco	cuaesdk	1	Developer
dixson3	cuaesdk	1	Developer
dbethke	cuaesdk	1	Developer
chucksplatt	cuaesdk	0	Developer
achaney	cuaesdk	0	Project Manager
bschatz	ctypes4j	1	
theller	ctypes	1	All-Hands Person
perky	ctypes	0	
mcfletch	ctypes	0	
infidel	ctypes	0	Developer
h_punt	ctypes	0	
etrepum	ctypes	0	
bschatz	ctypes	0	
breese	ctrio	1	Developer
bagder	ctrio	1	Developer
stevewaring	ctms	1	Project Manager
mkobetic	ctms	1	
jdbell	ctms	1	Project Manager
hoagie6	ctms	1	Project Manager
psw	ctlib	1	
kinuko	ctk-dev	1	
chris52389	ctenet0	1	Project Manager
jmarskoder	cte	1	Project Manager
asabassi	ctcl	1	All-Hands Person
asa76	ctcl	1	
perlguy0	ctags	0	Developer
jkoshy	ctags	0	Developer
jafl	ctags	0	
elliotth	ctags	0	Developer
elias	ctags	0	Developer
dhiebert	ctags	1	Project Manager
dfishburn	ctags	0	Developer
devosc	ctag	1	
baron314159	cssmunch	1	
abupon	csvtokenizer	1	
cent022	csvobjectloader	1	Analysis / Design
bgkuhn	csvobjectloader	1	
scottryan	csvbeans	0	Developer
registar	csvbeans	0	Developer
mdylo	csvbeans	0	Developer
csvbeans	csvbeans	1	Developer
jacobrhoden	csv2xml	1	
teishu	csv-parser	1	
beer_god	csv-parser	0	Developer
piers_lawson	csunit	0	Developer
mare	csunit	0	Developer
malange	csunit	1	Project Manager
jake792	csunit	0	Developer
matsys4	cstring	1	
